	shannon_entropy
2019.3.14.cow.fecal.1	6.913120789392186
2019.3.14.cow.fecal.10	6.827893157042617
2019.3.14.cow.fecal.11	7.671512800660382
2019.3.14.cow.fecal.12	7.253072536181477
2019.3.14.cow.fecal.13	7.719222067198591
2019.3.14.cow.fecal.13.rep	7.663877350800461
2019.3.14.cow.fecal.14	7.116652549481608
2019.3.14.cow.fecal.14.rep	7.087022502850906
2019.3.14.cow.fecal.15	7.197645542143697
2019.3.14.cow.fecal.15.rep	7.223534371897653
2019.3.14.cow.fecal.16	4.194636972756097
2019.3.14.cow.fecal.17	7.192481742652109
2019.3.14.cow.fecal.17.rep	7.164010735564562
2019.3.14.cow.fecal.18	7.725101343608269
2019.3.14.cow.fecal.18.rep	7.789200112969981
2019.3.14.cow.fecal.19	7.634747278158859
2019.3.14.cow.fecal.19.rep	7.527782921815742
2019.3.14.cow.fecal.2	7.716621757073887
2019.3.14.cow.fecal.20	7.585725515039814
2019.3.14.cow.fecal.20.rep	7.567551255229676
2019.3.14.cow.fecal.3	6.897263868847438
2019.3.14.cow.fecal.4	7.716848235692043
2019.3.14.cow.fecal.5	7.625023220081936
2019.3.14.cow.fecal.5.rep	7.700798329639473
2019.3.14.cow.fecal.6	6.647915243684022
2019.3.14.cow.fecal.7	7.646843297273821
2019.3.14.cow.fecal.7.rep	7.1937908878166565
2019.3.14.cow.fecal.8	7.701417305198415
2019.3.14.cow.fecal.9	7.461962469566471
2019.3.14.cow.fecal.9.rep	7.435388965015977
2019.3.14.cow.nasal.1	2.384786804962202
2019.3.14.cow.nasal.10	3.762160235255101
2019.3.14.cow.nasal.11.rep	3.510619558
2019.3.14.cow.nasal.13	4.353893097074702
2019.3.14.cow.nasal.13.rep	2.712265083387741
2019.3.14.cow.nasal.14	2.548075748129714
2019.3.14.cow.nasal.15	1.7701913239342615
2019.3.14.cow.nasal.15.rep	3.199745829670632
2019.3.14.cow.nasal.16.rep	1.326186378145847
2019.3.14.cow.nasal.18.rep	1.4161146046114126
2019.3.14.cow.nasal.19	3.94493331
2019.3.14.cow.nasal.2	3.4755553332093445
2019.3.14.cow.nasal.3	3.2995620416821008
2019.3.14.cow.nasal.4	3.7525497886081367
2019.3.14.cow.nasal.4.rep	3.4227411555531853
2019.3.14.cow.nasal.5	3.255794178752232
2019.3.14.cow.nasal.6	1.7479335527979218
2019.3.14.cow.nasal.7	5.825498706661286
2019.3.14.cow.nasal.8	4.647945620618269
2019.3.14.cow.nasal.9	2.6673526191522936
2019.3.14.cow.oral.1	3.6167554513357687
2019.3.14.cow.oral.1.rep	4.590808674361788
2019.3.14.cow.oral.10	3.748938344599066
2019.3.14.cow.oral.10.rep	3.550605694417824
2019.3.14.cow.oral.11	2.8823961856415563
2019.3.14.cow.oral.11.rep	3.1576325841355435
2019.3.14.cow.oral.12	4.742413979215871
2019.3.14.cow.oral.13.rep	4.873076753117557
2019.3.14.cow.oral.14	2.680257816845271
2019.3.14.cow.oral.15	4.960109554544824
2019.3.14.cow.oral.16	5.203629369918043
2019.3.14.cow.oral.17	6.119442758119036
2019.3.14.cow.oral.2	4.799651884441861
2019.3.14.cow.oral.3	4.5308861871254935
2019.3.14.cow.oral.3.rep	4.371236387403348
2019.3.14.cow.oral.5	4.394460036
2019.3.14.cow.oral.6	3.8031442790932446
2019.3.14.cow.oral.7	4.435767505896546
2019.3.14.cow.oral.8	3.908435536501693
2019.3.14.cow.oral.9	5.986744152491669
2019.3.14.cow.skin.rump.1	7.6944189442758955
2019.3.14.cow.skin.rump.10	7.700247185878858
2019.3.14.cow.skin.rump.11	7.677647629591795
2019.3.14.cow.skin.rump.12	7.478993681577624
2019.3.14.cow.skin.rump.13	6.770686484
2019.3.14.cow.skin.rump.14	7.241959851734328
2019.3.14.cow.skin.rump.15	7.339168174426041
2019.3.14.cow.skin.rump.16	7.466707319325806
2019.3.14.cow.skin.rump.18	7.761923923203655
2019.3.14.cow.skin.rump.19	7.548210809741501
2019.3.14.cow.skin.rump.2	7.611608937461169
2019.3.14.cow.skin.rump.20	7.313197876603933
2019.3.14.cow.skin.rump.3	6.847118940980034
2019.3.14.cow.skin.rump.4	7.3622992814456545
2019.3.14.cow.skin.rump.5	7.236751782498841
2019.3.14.cow.skin.rump.6	7.561892387138557
2019.3.14.cow.skin.rump.7	7.013117393067415
2019.3.14.cow.skin.rump.8	8.026778068374497
2019.3.14.cow.skin.rump.8.rep	7.680810767538864
2019.3.14.cow.skin.rump.9	7.911170021073156
2019.3.14.cow.udder.1	6.980914547
2019.3.14.cow.udder.10	7.201523883173424
2019.3.14.cow.udder.12	6.858524058580254
2019.3.14.cow.udder.13	7.177365561298341
2019.3.14.cow.udder.14	7.164519579506083
2019.3.14.cow.udder.15	7.305094057415187
2019.3.14.cow.udder.19	7.3343922689514125
2019.3.14.cow.udder.20	7.524574461881032
2019.3.14.cow.udder.4	7.447727536139891
2019.3.14.cow.udder.5	6.170063415293846
2019.3.14.cow.udder.9	7.246897607425213
	
	
