	shannon_entropy
14989.skin.hip.CMU.16.03.2016.02.25.day1	4.337277636814111
14989.skin.hip.CMU.16.03.2016.3.day10	4.0782541473376135
14989.skin.hip.CMU.16.03.2016.3.day11	3.755839463007915
14989.skin.hip.CMU.16.03.2016.3.day12	3.9950144212450436
14989.skin.hip.CMU.16.03.2016.3.day13	4.82667150843878
14989.skin.hip.CMU.16.03.2016.3.day15	3.774075312948933
14989.skin.hip.CMU.16.03.2016.3.day16	4.140708529751746
14989.skin.hip.CMU.16.03.2016.3.day17	2.79971294856125
14989.skin.hip.CMU.16.03.2016.3.day18	2.79873890643407
14989.skin.hip.CMU.16.03.2016.3.day2	3.1589280353335902
14989.skin.hip.CMU.16.03.2016.3.day20	4.147429281882181
14989.skin.hip.CMU.16.03.2016.3.day21	4.296766343134041
14989.skin.hip.CMU.16.03.2016.3.day5	4.0199284317896256
14989.skin.hip.CMU.16.03.2016.3.day8	3.806284572299443
14989.skin.hip.CMU.16.03.2016.3.day9	4.304174415847782
14989.skin.hip.CMU.16.04.2016.mo.day1	3.0746767432756403
14989.skin.hip.CMU.16.04.2016.mo.day11	2.4742790906832384
14989.skin.hip.CMU.16.04.2016.mo.day13	3.5020917392605186
14989.skin.hip.CMU.16.04.2016.mo.day15	3.446988093480736
14989.skin.hip.CMU.16.04.2016.mo.day16	4.060610879353482
14989.skin.hip.CMU.16.04.2016.mo.day17	3.8489604532058346
14989.skin.hip.CMU.16.04.2016.mo.day18	4.263748960128683
14989.skin.hip.CMU.16.04.2016.mo.day19	3.684520741767585
14989.skin.hip.CMU.16.04.2016.mo.day20	4.097419585742501
14989.skin.hip.CMU.16.04.2016.mo.day9	4.34921505476618
14989.skin.hip.CMU.16.05.2016.mo.day1	4.62386132453138
14989.skin.hip.CMU.16.05.2016.mo.day10	4.55314920373994
14989.skin.hip.CMU.16.05.2016.mo.day11	4.622904389419058
14989.skin.hip.CMU.16.05.2016.mo.day12	3.822267015275296
14989.skin.hip.CMU.16.05.2016.mo.day13	3.7127692872651106
14989.skin.hip.CMU.16.05.2016.mo.day14	4.243846248044258
14989.skin.hip.CMU.16.05.2016.mo.day15	4.292672842014151
14989.skin.hip.CMU.16.05.2016.mo.day16	4.17838601011908
14989.skin.hip.CMU.16.05.2016.mo.day17	3.1782393043285317
14989.skin.hip.CMU.16.05.2016.mo.day18	2.8594768166063593
14989.skin.hip.CMU.16.05.2016.mo.day19	3.743557736503065
14989.skin.hip.CMU.16.05.2016.mo.day2	5.061724544432305
14989.skin.hip.CMU.16.05.2016.mo.day20	3.8138124598440264
14989.skin.hip.CMU.16.05.2016.mo.day21	3.050606991238722
14989.skin.hip.CMU.16.05.2016.mo.day3	4.95386579151396
14989.skin.hip.CMU.16.05.2016.mo.day4	5.34411499697195
14989.skin.hip.CMU.16.05.2016.mo.day8	4.567124372047748
14989.skin.hip.CMU.16.05.2016.mo.day9	4.477747660846264
14989.skin.hip.UTK.K016.01.2016.04.07.day3	6.778122894957893
14989.skin.hip.UTK.K016.01.2016.04.11.day7	3.641256727207811
14989.skin.hip.UTK.K016.01.2016.04.12.day8	3.0336909943970953
14989.skin.hip.UTK.K016.01.2016.04.13.day9	4.292934639905633
14989.skin.hip.UTK.K016.01.2016.04.14.day10	3.9308398861045792
14989.skin.hip.UTK.K016.01.2016.04.15.day11	4.668265155212236
14989.skin.hip.UTK.K016.01.2016.04.16.day12	3.545874474338726
14989.skin.hip.UTK.K016.02.2016.04.13.day1	1.330796205721475
14989.skin.hip.UTK.K016.02.2016.04.14.day2	2.2024553516947107
14989.skin.hip.UTK.K016.02.2016.04.15.day3	2.7212287666870134
14989.skin.hip.UTK.K016.02.2016.04.16.day4	3.794748445544538
14989.skin.hip.UTK.K016.02.2016.04.17.day5	3.336277179938517
14989.skin.hip.UTK.K016.02.2016.04.18.day6	4.315351713546529
14989.soil.hip.CMU.16.03.2016.3.day1	4.24250502001563
14989.soil.hip.CMU.16.03.2016.3.day11	4.827577892750059
14989.soil.hip.CMU.16.03.2016.3.day12	3.4303324336429184
14989.soil.hip.CMU.16.03.2016.3.day13	4.706495619324467
14989.soil.hip.CMU.16.03.2016.3.day14	5.827457143865358
